"video id","path","header","text","icons","question after","textColour","backColour","Video Sequence Link","link","custom code"
"0","S11 intro",,"Replay Yes No","⏪ ✅ ❌","3","White White White","Black Green Red","S11 S11a S11.1","0 2 1"
"1","S11.1 intro FAQ",,"Replay Yes No","⏪ ✅ ❌","3","White White White","Black Green Red","S11.1 S11a S11a ❗️","1 2 2","; ; willProceed = 'not yet';"
"2","S11a throat spray",,"Replay Yes No More info","⏪ ✅ ❌ ❓",,"White White White White","Black Green Red Grey","S11a S12 S12 S11a.1","2 4 4 3","; ; ; ;"
"3","S11a.1 throat spray FAQ",,"Replay Yes No More info","⏪ ✅ ❌ ❓",,"White White White White","Black Green Red Grey","S11a.1 S12 S12 S12 ❗️","3 4 4 4","; ; ; willProceed = 'not yet';"
"4","S12 sedation",,"Replay Yes No Start without and then have More info","⏪ ✅ ❌ ⏱️ ❓",,"White White White Grey White","Black Green Red White Grey","S12 S13 S15 S12.2 S12.1","4 7 16 6 5"
"5","S12.1 sedation FAQ",,"Replay Yes No Start without and then have More info","⏪ ✅ ❌ ⏱️ ❓",,"White White White Grey White","Black Green Red White Grey","S12.1 S13 S15 S12.2 S15 ❗️","5 7 16 6 16","; ; ; ; willProceed = 'not yet';"
"6","S12.2 sedation audio and video extra",,"Replay Yes No","⏪ ✅ ❌",,"White White White","Black Green Red","S12.2 S13 S15","6 7 16"
"7","S13 collection",,"Replay Yes No More info","⏪ ✅ ❌ ❓",,"White White White White","Black Green Red Grey","S13a S14 S13.2 S13.1","7 11 10 9"
"8","S13a collection replay",,"Replay Yes No More info","⏪ ✅ ❌ ❓",,"White White White White","Black Green Red Grey","S13a S14 S13.2 S13.1","8 11 10 9"
"9","S13.1 collection FAQ",,"Replay Yes No More info","⏪ ✅ ❌ ❓",,"White White White White","Black Green Red Grey","S13.1 S14 S13.5 S15 ❗️","9 11 15 16","; ; ; willProceed = 'not yet';"
"10","S13.2 collection FAQ after no",,"Replay Yes No More info","⏪ ✅ ❌ ❓",,"White White White White","Black Green Red Grey","S13.2 S14 S13.5 S15 ❗️","10 11 15 16","; ; ; willProceed = 'not yet';"
"11","S14 24 hours",,"Replay Yes No More info","⏪ ✅ ❌ ❓",,"White White White White","Black Green Red Grey","S14a S15 S14.2 S14.1","11 16 14 13"
"12","S14a 24 hours replay",,"Replay Yes No More info","⏪ ✅ ❌ ❓",,"White White White White","Black Green Red Grey","S14a S15 S14.2 S14.1","12 16 14 13"
"13","S14.1 24 hours FAQ",,"Replay Yes No More info","⏪ ✅ ❌ ❓",,"White White White White","Black Green Red Grey","S14.1 S15 S13.5 S15 ❗️","13 16 15 16","; ; ; willProceed = 'not yet';"
"14","S14.2 24 hours FAQ after no",,"Replay Yes No More info","⏪ ✅ ❌ ❓",,"White White White White","Black Green Red Grey","S14.2 S15 S13.5 S15 ❗️","14 16 15 16","; ; ; willProceed = 'not yet';"
"15","S13.5 Extra audio with warning",,"Replay Yes No","⏪ ✅ ❌",,"White White White","Black Green Red","S13.5 S15 ❗️ S15","15 16 16","; willProceed = 'not yet'; ;"
"16","S15 risks",,"Replay Yes No","⏪ ✅ ❌",,"White White White","Black Green Red","S15 S16 S15.1","16 18 17"
"17","S15.1 risks FAQ",,"Replay Yes No","⏪ ✅ ❌",,"White White White","Black Green Red","S15.1 S16 S16 ❗️","17 18 18","; ; willProceed = 'not yet';"
"18","S16 proceed",,"Replay Yes No More info","⏪ ✅ ❌ ❓",,"White White White White","Black Green Red Grey","S16 S16a S16b S16c","18 summary summary summary"
